,duration,lon,trip_id,lat
658,8618,-73.9814,12,40.76822
659,8637,-73.98154,12,40.76841
660,8656,-73.98157,12,40.7685
661,8675,-73.98152,12,40.76862
662,8694,-73.9814,12,40.7688
663,8713,-73.9809,12,40.76949
664,8732,-73.98056,12,40.76992
665,8751,-73.97966,12,40.77116
666,8770,-73.97734,12,40.77435
667,8789,-73.97626,12,40.77582
